2022-05-20 13:05:305 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-20 13:05:770 INFO  HomePage :34 - Entering UserName standard_user
2022-05-20 13:05:825 INFO  HomePage :38 - Entering passwordsecret_sauce
2022-05-20 13:05:867 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-20 13:05:298 INFO  HomePage :34 - Entering UserName standard_user
2022-05-20 13:05:348 INFO  HomePage :38 - Entering passwordsecret_sauce
2022-05-20 13:05:248 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-20 13:05:739 INFO  HomePage :34 - Entering UserName standard_user
2022-05-20 13:05:792 INFO  HomePage :38 - Entering passwordsecret_sauce
2022-05-20 13:05:986 INFO  ProductsPage :38 - Selecting Sort By [[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //select[@class='product_sort_container']]
2022-05-20 13:05:38 INFO  ProductsPage :47 - Selecting cheapest product[[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //option[@value='lohi']]
2022-05-20 13:05:75 INFO  ProductsPage :47 - Selecting cheapest product[[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //option[@value='lohi']]
2022-05-20 13:05:120 INFO  ProductsPage :51 - Clicking on Add To Cart[[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-20 13:05:163 INFO  ShoppingCartPage :31 - Clicking On checkOut Button[[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //button[@name='checkout']]
2022-05-20 13:05:224 INFO  CheckOutPage :44 - Sending FirstName[[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //input[@placeholder='First Name']]
2022-05-20 13:05:285 INFO  CheckOutPage :48 - Sending Last Name[[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //input[@placeholder='Last Name']]
2022-05-20 13:05:340 INFO  CheckOutPage :52 - Sending Zip / Postal Code[[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //input[@placeholder='Zip/Postal Code']]
2022-05-20 13:05:388 INFO  CheckOutPage :56 - Clicking On Continue[[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //*[@id="continue"]]
2022-05-20 13:05:428 INFO  CheckOutPage :60 - Clicking on Finish [[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //button[@name='finish']]
2022-05-20 13:05:441 INFO  CheckOutPage :64 - Getting Order Confirmation Message[[ChromeDriver: chrome on WINDOWS (2ca91a767e31002d22af36f3ca4bc8e1)] -> xpath: //*[@id="checkout_complete_container"]/h2]
2022-05-20 13:05:888 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-20 13:05:339 INFO  HomePage :34 - Entering UserName standard_user
2022-05-20 13:05:396 INFO  HomePage :38 - Entering passwordsecret_sauce
2022-05-20 13:05:582 INFO  ProductsPage :38 - Selecting Sort By [[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //select[@class='product_sort_container']]
2022-05-20 13:05:630 INFO  ProductsPage :47 - Selecting cheapest product[[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //option[@value='lohi']]
2022-05-20 13:05:675 INFO  ProductsPage :47 - Selecting cheapest product[[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //option[@value='lohi']]
2022-05-20 13:05:722 INFO  ProductsPage :51 - Clicking on Add To Cart[[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-20 13:05:762 INFO  ShoppingCartPage :31 - Clicking On checkOut Button[[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //button[@name='checkout']]
2022-05-20 13:05:820 INFO  CheckOutPage :44 - Sending FirstName[[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //input[@placeholder='First Name']]
2022-05-20 13:05:880 INFO  CheckOutPage :48 - Sending Last Name[[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //input[@placeholder='Last Name']]
2022-05-20 13:05:932 INFO  CheckOutPage :52 - Sending Zip / Postal Code[[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //input[@placeholder='Zip/Postal Code']]
2022-05-20 13:05:981 INFO  CheckOutPage :56 - Clicking On Continue[[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //*[@id="continue"]]
2022-05-20 13:05:21 INFO  CheckOutPage :60 - Clicking on Finish [[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //button[@name='finish']]
2022-05-20 13:05:35 INFO  CheckOutPage :64 - Getting Order Confirmation Message[[ChromeDriver: chrome on WINDOWS (7902ced7311e29a464ee858e249c7cf4)] -> xpath: //*[@id="checkout_complete_container"]/h2]
2022-05-20 13:05:770 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-20 13:05:247 INFO  HomePage :34 - Entering UserName standard_user
2022-05-20 13:05:299 INFO  HomePage :38 - Entering passwordsecret_sauce
2022-05-20 13:05:490 INFO  ProductsPage :38 - Selecting Sort By [[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //select[@class='product_sort_container']]
2022-05-20 13:05:552 INFO  ProductsPage :47 - Selecting cheapest product[[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //option[@value='lohi']]
2022-05-20 13:05:592 INFO  ProductsPage :47 - Selecting cheapest product[[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //option[@value='lohi']]
2022-05-20 13:05:639 INFO  ProductsPage :51 - Clicking on Add To Cart[[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-20 13:05:683 INFO  ShoppingCartPage :31 - Clicking On checkOut Button[[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //button[@name='checkout']]
2022-05-20 13:05:745 INFO  CheckOutPage :44 - Sending FirstName[[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //input[@placeholder='First Name']]
2022-05-20 13:05:804 INFO  CheckOutPage :48 - Sending Last Name[[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //input[@placeholder='Last Name']]
2022-05-20 13:05:857 INFO  CheckOutPage :52 - Sending Zip / Postal Code[[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //input[@placeholder='Zip/Postal Code']]
2022-05-20 13:05:907 INFO  CheckOutPage :56 - Clicking On Continue[[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //*[@id="continue"]]
2022-05-20 13:05:949 INFO  CheckOutPage :60 - Clicking on Finish [[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //button[@name='finish']]
2022-05-20 13:05:964 INFO  CheckOutPage :64 - Getting Order Confirmation Message[[ChromeDriver: chrome on WINDOWS (305a240946ea2d055c80ebb4d24efdce)] -> xpath: //*[@id="checkout_complete_container"]/h2]
2022-05-20 14:05:815 INFO  HomePage :34 - Entering UserName standard_user
2022-05-20 14:05:852 INFO  HomePage :38 - Entering passwordsecret_sauce
2022-05-20 14:05:820 INFO  ProductsPage :38 - Selecting Sort By [[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //select[@class='product_sort_container']]
2022-05-20 14:05:550 INFO  ProductsPage :47 - Selecting cheapest product[[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //option[@value='lohi']]
2022-05-20 14:05:48 INFO  ProductsPage :47 - Selecting cheapest product[[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //option[@value='lohi']]
2022-05-20 14:05:772 INFO  ProductsPage :51 - Clicking on Add To Cart[[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-20 14:05:276 INFO  ShoppingCartPage :31 - Clicking On checkOut Button[[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //button[@name='checkout']]
2022-05-20 14:05:288 INFO  CheckOutPage :44 - Sending FirstName[[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //input[@placeholder='First Name']]
2022-05-20 14:05:313 INFO  CheckOutPage :48 - Sending Last Name[[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //input[@placeholder='Last Name']]
2022-05-20 14:05:331 INFO  CheckOutPage :52 - Sending Zip / Postal Code[[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //input[@placeholder='Zip/Postal Code']]
2022-05-20 14:05:68 INFO  CheckOutPage :56 - Clicking On Continue[[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //*[@id="continue"]]
2022-05-20 14:05:590 INFO  CheckOutPage :60 - Clicking on Finish [[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //button[@name='finish']]
2022-05-20 14:05:610 INFO  CheckOutPage :64 - Getting Order Confirmation Message[[FirefoxDriver: firefox on WINDOWS (702dca62-be41-4f80-9aa0-9dc9d35cb83b)] -> xpath: //*[@id="checkout_complete_container"]/h2]
2022-05-20 14:05:53 INFO  HomePage :34 - Entering UserName standard_user
2022-05-20 14:05:86 INFO  HomePage :38 - Entering passwordsecret_sauce
2022-05-20 14:05:638 INFO  ProductsPage :38 - Selecting Sort By [[FirefoxDriver: firefox on WINDOWS (8c0a0685-d45b-401b-b4c2-e86d9731473f)] -> xpath: //select[@class='product_sort_container']]
2022-05-20 14:05:854 INFO  ProductsPage :47 - Selecting cheapest product[[FirefoxDriver: firefox on WINDOWS (8c0a0685-d45b-401b-b4c2-e86d9731473f)] -> xpath: //option[@value='lohi']]
2022-05-20 14:05:70 INFO  ProductsPage :47 - Selecting cheapest product[[FirefoxDriver: firefox on WINDOWS (8c0a0685-d45b-401b-b4c2-e86d9731473f)] -> xpath: //option[@value='lohi']]
2022-05-20 14:05:303 INFO  ProductsPage :51 - Clicking on Add To Cart[[FirefoxDriver: firefox on WINDOWS (8c0a0685-d45b-401b-b4c2-e86d9731473f)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-20 14:05:537 INFO  ShoppingCartPage :31 - Clicking On checkOut Button[[FirefoxDriver: firefox on WINDOWS (8c0a0685-d45b-401b-b4c2-e86d9731473f)] -> xpath: //button[@name='checkout']]
2022-05-20 14:05:554 INFO  CheckOutPage :44 - Sending FirstName[[FirefoxDriver: firefox on WINDOWS (8c0a0685-d45b-401b-b4c2-e86d9731473f)] -> xpath: //input[@placeholder='First Name']]
2022-05-20 14:05:574 INFO  CheckOutPage :48 - Sending Last Name[[FirefoxDriver: firefox on WINDOWS (8c0a0685-d45b-401b-b4c2-e86d9731473f)] -> xpath: //input[@placeholder='Last Name']]
2022-05-20 14:05:595 INFO  CheckOutPage :52 - Sending Zip / Postal Code[[FirefoxDriver: firefox on WINDOWS (8c0a0685-d45b-401b-b4c2-e86d9731473f)] -> xpath: //input[@placeholder='Zip/Postal Code']]
2022-05-20 14:05:838 INFO  CheckOutPage :56 - Clicking On Continue[[FirefoxDriver: firefox on WINDOWS (8c0a0685-d45b-401b-b4c2-e86d9731473f)] -> xpath: //*[@id="continue"]]
